pitch,interval,label,rolling_avg_pitch,rolling_std_pitch,rolling_avg_interval,rolling_std_interval
60,-18,1,68.2,7.014271166700076,-0.6,11.54556191789728
75,15,1,69.2,7.661592523751189,1.0,13.28533025558642
78,3,1,72.2,7.563068160475634,3.0,12.5099960031968
56,-22,1,69.4,10.573551910309048,-2.8,16.330952207388272
72,16,1,68.2,9.654014708917739,-1.2,17.963852593472254
78,6,1,71.8,9.176055797563583,3.6,15.372052563011874
49,-29,1,66.6,13.334166640626627,-5.2,19.305439647933426
75,26,1,66.0,12.74754878398196,-0.6,23.933240482642542
49,-26,1,64.6,14.397916515940768,-1.4,24.87569094517778
75,26,1,65.2,14.839137441239636,0.6,26.94067556688213
78,3,1,65.2,14.839137441239636,0.0,26.823497162003314
77,-1,1,70.8,12.255610959882837,5.6,21.686401268998043
63,-14,1,68.4,12.401612798342004,-2.4,19.55249344712842
82,19,1,75.0,7.176350047203703,6.6,16.009372255026115
80,-2,1,76.0,7.5166481891864985,1.0,11.895377253370315
63,-17,1,73.0,9.300537618869162,-3.0,14.195069566578384
78,15,1,73.2,9.418067742376909,0.2,16.392071254115507
58,-20,1,72.2,10.917875251164963,-1.0,17.846568297574745
76,18,1,71.0,9.848857801796123,-1.2,17.569860557215584
47,-29,1,64.4,12.895735729302146,-6.6,21.57081361469706
58,11,1,63.4,13.221195104830723,-1.0,21.828879952943073
78,20,1,63.4,13.221195104830723,0.0,22.83637449333847
49,-29,1,61.6,14.673104647619732,-1.8,25.053941805632103
49,0,1,56.2,12.911235417263505,-5.4,22.678183348760545
76,27,1,62.0,14.195069566578384,5.8,21.92487172140353
73,-3,1,65.0,14.713938969562163,3.0,21.988633427296026
52,-21,1,59.8,13.51665639128256,-5.2,21.70714168194422
71,19,1,64.2,12.67675037223657,4.4,18.994736112934028
75,4,1,69.4,9.914635646356382,5.2,18.846750383023597
58,-17,1,65.8,10.183319694480783,-3.6,16.211107303327555
71,13,1,65.4,9.864076236526163,-0.4,17.854971296532515
70,-1,1,69.0,6.442049363362609,3.6,13.885243966167828
68,-2,1,68.4,6.348228099241593,-0.6,10.92245393673052
67,-1,1,66.8,5.1672042731055585,-1.6,10.620734437881403
55,-12,1,66.2,6.457553716385199,-0.6,8.905054744357274
56,1,1,63.2,7.120393247567157,-3.0,5.1478150704934995
70,14,1,63.2,7.120393247567157,0.0,9.300537618869138
53,-17,1,60.2,7.726577508832719,-3.0,12.103718436910205
58,5,1,58.4,6.7305274681854925,-1.8,12.6372465355393
75,17,1,62.4,9.555103348472997,4.0,13.41640786499874
51,-24,1,61.4,10.597169433391151,-1.0,18.506755523321747
49,-2,1,57.2,10.497618777608533,-4.2,16.543881044059763
47,-2,1,56.0,11.401754250991342,-1.2,14.923136399564267
71,24,1,58.6,13.296616110875709,2.6,18.80957203128237
51,-20,1,53.8,9.757048734120318,-4.8,19.00526242912736
73,22,1,58.2,12.696456198483078,4.4,18.51485889765299
70,-3,1,62.4,12.36122971228995,4.2,18.606450494385005
56,-14,1,64.2,9.984988733093296,1.8,20.30270917882636
75,19,1,65.0,10.793516572461458,0.8,19.018412131405714
68,-7,1,68.4,7.436396977031318,3.4,16.13381541979454
66,-2,1,67.0,7.000000000000026,-1.4,12.340988615179906
64,-2,1,65.8,6.870225614927084,-1.2,12.316655390161731
54,-10,1,65.4,7.602631123499295,-0.4,11.371015785759866
52,-2,1,60.8,7.293833011524158,-4.6,3.714835124201348
68,16,1,60.8,7.293833011524158,0.0,9.591663046625444
51,-17,1,57.8,7.694153624668485,-3.0,12.328828005937956
56,5,1,56.2,6.8702256149269925,-1.6,12.856904759700138
73,17,1,60.0,9.924716620639579,3.8,14.060583202698247
56,-17,1,60.8,9.257429448826473,0.8,16.917446615846025
73,17,1,61.8,10.42592921518268,1.0,17.14642819948225
49,-24,1,61.4,10.968135666556998,-0.4,19.152023391798583
47,-2,1,59.6,12.680693987317866,-1.8,18.912958520548816
46,-1,1,54.2,11.211601134539112,-5.4,15.915401345866213
55,9,1,54.0,11.18033988749889,-0.2,15.417522498767436
63,8,1,52.0,7.071067811865362,-2.0,13.285330255586425
58,-5,1,53.8,7.259476565152522,1.8,6.300793600809356
63,5,1,57.0,7.035623639735082,3.2,6.016643582596541
58,-5,1,59.4,3.5071355833499593,2.4,6.913754406977452
51,-7,1,58.6,4.929503017546429,-0.8,6.79705818718658
47,-4,1,55.4,6.348228099241465,-3.2,4.711687595755909
75,28,1,58.8,10.963576058932569,3.4,14.501724035437999
52,-23,1,56.6,11.01362792180665,-2.2,18.566098136118963
73,21,1,59.6,13.29661611087571,3.0,21.05943968865269
49,-24,1,59.2,13.645512082732528,-0.4,24.21363252384904
71,22,1,64.0,12.449899597988738,4.8,25.974987969198374
80,9,1,65.0,13.693063937629164,1.0,22.945587811167535
51,-29,1,64.8,13.935566009315885,-0.2,24.610973162392423
70,19,1,64.2,13.55359730846391,-0.6,24.192974186734467
79,9,1,70.2,11.649034294738813,6.0,20.420577856662142
44,-35,1,64.8,16.452963258939107,-5.4,24.71436829053092
80,36,1,64.8,16.452963258939107,0.0,30.838287890218552
76,-4,1,69.8,14.93987951758651,5.0,26.711420778386167
46,-30,1,65.0,18.330302779823366,-4.8,29.166761904606417
75,29,1,64.2,17.64086165695996,-0.8,32.69097734849786
73,-2,1,70.0,13.656500283747697,5.8,26.873779042032783
47,-26,1,63.4,15.469324484281787,-6.6,23.55419283269967
75,28,1,63.2,15.270887335056859,-0.2,28.305476501906845
68,-7,1,67.6,11.865917579353086,4.4,23.754999473794996
46,-22,1,61.8,14.202112518917726,-5.8,21.38223561744656
67,21,1,60.6,13.240090634130848,-1.2,24.631280924872755
46,-21,1,60.4,13.50185172485609,-0.2,23.44568190520379
67,21,1,58.8,11.691877522451179,-1.6,21.466252583997992
73,6,1,59.8,12.833549781724436,1.0,21.43595111022603
44,-29,1,59.4,13.390294993016369,-0.4,23.447814397081885
71,27,1,60.2,14.06058320269822,0.8,24.923884127479017
70,-1,1,65.0,11.93733638631333,4.8,21.98181066245455
47,-23,1,61.0,14.23024947075769,-4.0,22.67156809750928
68,21,1,60.0,13.322912594474202,-1.0,25.17935662402835
67,-1,1,64.6,9.964938534682496,4.6,19.9699774661866
53,-14,1,61.0,10.319883720275124,-3.6,16.607227342335037
68,15,1,60.6,9.914635646356324,-0.4,18.64939677308627
71,3,1,65.4,7.092249290598874,4.8,13.75499909123954
46,-25,1,61.0,10.885770528538595,-4.4,15.4854770672395
61,15,1,59.8,10.37786105129565,-1.2,17.83816134022788
46,-15,1,58.4,11.886967653695327,-1.4,18.02220852171011
61,15,1,57.0,10.839741694339343,-1.4,18.02220852171011
71,10,1,57.0,10.839741694339343,0.0,18.70828693386972
47,-24,1,57.2,10.592450141492233,0.2,18.376615575235842
68,21,1,58.6,11.631852818876238,1.4,19.730686759461783
71,3,1,63.6,10.139033484509257,5.0,17.507141400011612
56,-15,1,62.6,10.691117808723266,-1.0,18.343936327844155
63,7,1,61.0,9.669539802906831,-1.6,17.938784797192938
71,8,1,65.8,6.379655163094658,4.8,12.969194269498802
53,-18,1,62.8,8.318653737234158,-3.0,12.509996003196822
68,15,1,62.2,7.661592523751163,-0.6,14.876155417311306
71,3,1,65.2,7.5630681604756305,3.0,12.509996003196827
49,-22,1,62.4,10.573551910309032,-2.8,16.33095220738829
65,16,1,61.2,9.654014708917714,-1.2,17.96385259347227
71,6,1,64.8,9.17605579756358,3.6,15.372052563011893
49,-22,1,61.0,11.224972160321801,-3.8,17.297398648351738
42,-7,1,55.2,12.214745187681915,-5.8,16.887865466067655
70,28,1,59.4,13.126309458488294,4.2,19.49871790657018
68,-2,1,60.0,13.509256086106271,0.6,18.40652058374968
46,-22,1,55.0,13.038404810405238,-5.0,20.49390153191921
66,20,1,58.4,13.296616110875693,3.4,20.39117456155973
